Country,City,University,Master,Language,Semesters,Fee per semester(EU),Language certificate,Temporada de inicio,Time,Application fee,GRE,GMAT,IELTS,TOEFL,Pasantias?,%Estudiantes extranjeros,Becas,Link,Comentarios
Russia,Saint Petersburg,ITMO University,Big Data and Machine Learning,English,4,1630,,,Full time,,,,,,None,,,,https://en.itmo.ru/en/viewjep/2/5/Big_Data_and_Machine_Learning.htm?utm_source=Study.eu&utm_medium=Listings
Spain,Madrid,Universidad Carlos III de Madrid (UC3M),Big data analytics,English,2,3600,B2,,Full time,,,,5.5,72,,,,https://www.uc3m.es/master/big-data-analytics#home,
Spain,Madrid,Universidad Carlos III de Madrid (UC3M),Statistics for data science,English,2,3600,B2,,Full time,,,,5.5,72,,,,https://www.uc3m.es/master/statistics-data-science#admission_enrollment,
Spain,Madrid,Universidad complutense de madrid,Big data y business analytics,Spanish,2,3220,,Winter Semester only,Part time,0,,,,,,,,https://www.masterbigdataucm.com/,
Spain,Madrid,Universidad autonoma de Madrid,Big data y data science: ciencia e ingeniería de datos,English,4,1475,B2,,Part time,28,,,6.5,90,,,,http://masteruambigdata.com/,
Spain,Barcelona,Universitat de Barcelona,Fundamental principles of data science,English,4,1265,B2,Summer and Winter Semester,Full time,,,,6.5,90,,,,http://www.ub.edu/datascience/master/index.html,
Spain,Barcelona,Harbour space,Data science,English,4,11450,B2,Winter Semester only,Full time,125,,,6.5,90,,,https://harbour.space/admissions/scholarship,https://harbour.space/data-science,
Spain,Barcelona,University of Barcelona,Data Science,English,2,9250,,,Full time,,,,,,,,,https://www.barcelonagse.eu/study/masters-programs/data-science,
Sweden,Stockholm,KTH Royal Institute of Technology,Machine learning,English,4,7270,B2,Winter Semester only,Full time,85,,,6.5,90,No,,https://www.kth.se/en/studies/master/machinelearning/scholarships,https://www.kth.se/en/studies/master/machinelearning/description-1.48533,
"Sweden,Lund,Lund University,""Machine learning, systems and control"",English,4,6800,B2,Winter Semester only,Full time,85,,,6.5,90,No,,https://www.universityadmissions.se/en/All-you-need-to-know1/Applying-for-studies/Fees-and-scholarships/Scholarships/,http://www.lth.se/fileadmin/lth/english/internationella/filer/machine-learning-systems-control-2020-fact-sheet.pdf,"
"Sweden,Skövde,University of Skövde,Data Science ECTS 60,English,2,6.062,B1,Autumn,Full time,""83,95"",,,6,,None,,,,https://www.his.se/en/Prospective-student/education/Masters-Studies/Data-Science-Masters-Programme-60-ECTS/"
"Sweden,Skövde,University of Skövde,Data Science ECTS 120,English,4,12125,B1,Autumn,Full time,""83,95"",,,6,,None,,,,https://www.his.se/en/Prospective-student/education/Masters-Studies/Data-Science-Masters-Programme-120-ECTS/"
Switzerland,Lausanne,EPFL - Ecole Polytechnique Federale de Lausanne,Data Science,English,4,650,,Winter Semester only,Full time,137,,,,,Optional,,,https://www.epfl.ch/schools/ic/education/master/data-science/,No es requisito enviar un certificado de idiomas o examen gmat o gre
Switzerland,Zurich,ETH Zurich,Data Science,English,4,600,C1,,Full time,137,,,7,100,No,,https://ethz.ch/students/en/studies/financial/scholarships.html,https://ethz.ch/en/studies/prospective-masters-degree-students/masters-degree-programmes/engineering-sciences/master-data-science.html,
